时间 – Thời gian, 时间是最宝贵的财富。
秒钟 – Giây, 一分钟有六十秒钟。
分钟 – Phút, 请等我五分钟。
小时 – Giờ, 他每天工作八个小时。
天 – Ngày, 今天是个好天。
星期 – Tuần, 一星期有七天。
月 – Tháng, 一年有十二个月。
季节 – Mùa, 春天是我最喜欢的季节。
年 – Năm, 新年快乐！
十年 – Thập kỉ, 我们认识已经十年了。
世纪 – Thế kỉ, 这是二十一世纪。
千年 – Ngàn năm, 这座寺庙有一千年的历史。
永恒 – Vĩnh hằng, 友谊是永恒的。
早晨 – Sáng sớm, 我每天早晨六点起床。
中午 – Buổi trưa, 我们中午一起吃饭吧。
下午 – Buổi chiều, 下午我去图书馆。
晚上 – Buổi tối, 晚上我们去看电影。
夜 – Đêm, 夜很安静。
午夜 – Nửa đêm, 他在午夜才回家。
星期一 – Thứ 2, 星期一我要上班。
星期二 – Thứ 3, 星期二有中文课。
星期三 – Thứ 4, 星期三我们去开会。
星期四 – Thứ 5, 星期四我休息。
星期五 – Thứ 6, 星期五晚上有派对。
星期六 – Thứ 7, 星期六我们去旅游。
星期天 – Chủ nhật, 星期天是休息日。
一月 – Tháng 1, 一月是新的一年的开始。
二月 – Tháng 2, 二月有二十八天。
三月 – Tháng 3, 三月的天气很舒服。
四月 – Tháng 4, 四月花开了。
五月 – Tháng 5, 五月我们去爬山。
六月 – Tháng 6, 六月天气很热。
七月 – Tháng 7, 七月我们放假。
八月 – Tháng 8, 八月有很多水果。
九月 – Tháng 9, 九月开学了。
十月 – Tháng 10, 十月天气很凉快。
十一月 – Tháng 11, 十一月树叶变黄了。
十二月 – Tháng 12, 十二月下雪了。
春天 – Mùa xuân, 春天花开鸟鸣。
夏天 – Mùa hạ, 夏天很热。
秋天 – Mùa thu, 秋天的风很凉爽。
冬天 – Mùa đông, 冬天会下雪。
品质 – Chất lượng, 我们的产品品质很高。
缺陷 – Khuyết điểm, 这个产品有一点小缺陷。
不良 – Lỗi, không đạt, 我们要减少生产中的不良品。
检验 – Kiểm nghiệm, 所有产品都要经过严格的检验。
检查 – Kiểm tra, 请检查一下机器有没有问题。
测试 – Thử nghiệm, 新产品需要先进行测试。
报告 – Báo cáo, 我昨天提交了质量报告。
记录 – Ghi chép, 请把检查结果记录下来。
标准 – Tiêu chuẩn, 我们要按照国际标准生产。
合格 – Đạt chuẩn, 所有产品都必须合格才能出货。
不合 – Không đạt, 不合标准的产品要返工。
样品 – Mẫu sản phẩm, 客户要求我们提供样品。
批次 – Lô hàng, 每个批次都需要编号。
检测 – Kiểm tra, đo lường, 我们每天检测产品的尺寸。
缺点 – Điểm thiếu sót, 这个设计有一些缺点。
改善 – Cải tiến, 我们正在改善生产流程。
分析 – Phân tích, 请分析一下不良的原因。
抽检 – Kiểm tra ngẫu nhiên, 我们每天抽检10%的产品。
抽样 – Lấy mẫu, 我们抽样检查质量。
工序 – Công đoạn, 每个工序都要仔细操作。
流程 – Quy trình, 我们的生产流程很严格。
规格 – Quy cách, 产品要符合技术规格。
误差 – Sai số, 这个尺寸的误差太大了。
异常 – Bất thường, 发现异常要立即报告。
缺料 – Thiếu vật liệu, 生产线因缺料而暂停。
返工 – Làm lại, 不合格的产品要返工。
返修 – Sửa lại, 机器坏了需要返修。
替代 – Thay thế, 我们用新材料替代旧的。
工艺 – Công nghệ, 新工艺提高了生产效率。
报废 – Phế phẩm, 这些报废品要处理掉。
原因 – Nguyên nhân, 我们找到了问题的原因。
现象 – Hiện tượng, 这种现象很少见。
客诉 – Khiếu nại khách hàng, 我们收到客户的客诉。
投诉 – Khiếu nại, 公司正在处理客户投诉。
追踪 – Theo dõi, 我们需要追踪问题的进展。
